#This file contains the count of Vaisala NLDN lightning strikes within a 0.1 degree grid cell for the specified day as defined by the UTC/GMT time zone.
#File written at Sun Oct  6 02:08:03 EDT 2019.
#ZDAY,CENTERLON,CENTERLAT,TOTAL_COUNT
20191001,-76.4,45.5,2
20191001,-76.2,45.5,1
20191001,-76.1,45.5,3
20191001,-75.8,45.5,1
20191001,-74.6,45.5,2
20191001,-74.5,45.5,5
20191001,-74.4,45.5,6
20191001,-74.3,45.5,2
20191001,-74.2,45.5,3
20191001,-74.1,45.5,5
20191001,-73.9,45.5,4
20191001,-73.8,45.5,1
20191001,-73.7,45.5,5
20191001,-73.6,45.5,3
20191001,-73.5,45.5,2
20191001,-73.4,45.5,1
20191001,-73.3,45.5,6
20191001,-73.2,45.5,3
20191001,-73.1,45.5,6
20191001,-72.9,45.5,3
20191001,-72.7,45.5,1
20191001,-72.1,45.5,1
20191001,-71.7,45.5,1
20191001,-79,45.6,1
20191001,-78,45.6,10
20191001,-75,45.6,4
20191001,-96.1,40.6,4
20191001,-95.9,40.6,3
20191001,-95.8,40.6,13
20191001,-95.7,40.6,13
20191001,-95.6,40.6,2
20191001,-95.5,40.6,4
20191001,-95.4,40.6,8
20191001,-87.5,45.4,1
20191001,-87.3,45.4,1
20191001,-87.2,45.4,2
20191001,-87.1,45.4,1
20191001,-86.8,45.4,2
20191001,-86.7,45.4,3
20191001,-86.6,45.4,1
20191001,-86.3,45.4,1
20191001,-86.2,45.4,1
20191001,-86.1,45.4,1
20191001,-85.6,45.4,1
20191001,-85.4,45.4,5
20191001,-85.3,45.4,2
20191001,-85.1,45.4,1
20191001,-81.9,45.4,3
20191001,-81.8,45.4,2
20191001,-81.1,45.4,1
20191001,-80.5,45.4,1
20191001,-79.9,45.4,1
20191001,-78.5,45.4,2
20191001,-78.4,45.4,4
20191001,-78.3,45.4,1
20191001,-78.1,45.4,2
20191001,-77.9,45.4,3
20191001,-77.8,45.4,7
20191001,-77.7,45.4,9
20191001,-77.6,45.4,17
20191001,-77.5,45.4,16
20191001,-77.4,45.4,33
20191001,-77.3,45.4,3
20191001,-77.2,45.4,3
20191001,-77.1,45.4,5
20191001,-76.9,45.4,3
20191001,-76.8,45.4,3
20191001,-76.7,45.4,3
20191001,-76.1,45.4,1
20191001,-75.9,45.4,2
20191001,-75.8,45.4,1
20191001,-75.7,45.4,3
20191001,-75.6,45.4,2
20191001,-75.4,45.4,3
20191001,-74.7,45.4,2
20191001,-74.6,45.4,1
20191001,-74.5,45.4,3
20191001,-74.4,45.4,3
20191001,-74.2,45.4,3
20191001,-74.1,45.4,3
20191001,-73.9,45.4,3
20191001,-73.8,45.4,7
20191001,-73.7,45.4,10
20191001,-73.6,45.4,6
20191001,-73.5,45.4,4
20191001,-73.4,45.4,7
20191001,-73.3,45.4,7
20191001,-73.2,45.4,7
